time_iso8601,stars_cumulative
2025-05-19 00:00:00+00:00,1
2025-06-02 00:00:00+00:00,2
2026-02-04 00:00:00+00:00,3
2026-03-30 00:00:00+00:00,4
2026-06-09 00:00:00+00:00,5
2026-06-10 00:00:00+00:00,6
2026-07-06 00:00:00+00:00,7
